FILE ID;:;'CW500;
VERSION;:;'1.01;'00;
SERIAL NUMBER;:;'0JKT9004;
MAC ADDRESS;:;'--_--_--_--_--_--;
ID NUMBER;:;'00-001;
CONDITION;:;'SELF;
WIRING;:;'3P4W;
VOLT RANGE;:;'600V;
VT RATIO;:;'1,00;
SENSOR TYPE;:;'96065;'96065;'96065;'96065;
CURRENT RANGE;:;'1000 A;'1000 A;'1000 A;'100,0 A;
CT RATIO;:;'1,00;'1,00;'1,00;'1,00;
DC RANGE;:;'1.000 V;'1.000 V;
INTERVAL;:;'10 min.;
DEMAND TARGET;:;'300.0kW ;
DEMAND INTERVAL;:;'15 min.;
NOMINAL VOLTAGE;:;'220V;
FREQUENCY;:;'60Hz;
THD;:;'THD-F;
START;:;'2023/02/23_16:08:41;
INP-DATA;:;'INPS0013.CW5;'2291;
INH-DATA;:;'INHS0013.CW5;'10320;
EVT-DATA;:;'EVTS0013.CW5;'105;
WAV-DATA;:;'WAVS0013.CW5;'115632;
VAL-DATA;:;'VALS0013.CW5;'2592;
TRANSIENT;:;'0;
INTRUPT;:;'0;
DIP;:;'0;
SWELL;:;'0;
INRUSH CURRENT;:;'0;
STOP;:;'2023/03/03_14:18:22;

;;Average value;2,318395E+002;1,882275E-001;8,005362E-001;4,023101E-002;6,261223E+000;6,573976E-003;3,510418E+000;6,660942E-004;1,767335E-001;1,332639E-004;1,560041E-001;2,703579E-006;2,353131E-001;1,201591E-006;1,473002E-001;1,126491E-007;8,293550E-002;2,252982E-007;1,164596E-001;1,126491E-007;5,756418E-002;0,000000E+000;6,575843E-002;1,126491E-007;5,201219E-002;0,000000E+000;1,663478E-002;1,126491E-007;5,874212E-002;1,126491E-007;2,102164E-002;0,000000E+000;6,935355E-003;0,000000E+000;2,164628E-003;0,000000E+000;5,305022E-004;1,126491E-007;2,838757E-005;1,126491E-007;4,532250E-005;1,126491E-007;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value;2,366014E+002;6,415862E-001;1,888801E+000;4,524236E-001;1,161957E+001;1,274782E-001;5,469064E+000;4,550348E-002;4,695034E-001;5,303745E-002;5,514782E-001;8,561332E-004;5,941564E-001;5,564866E-004;3,454926E-001;1,284200E-004;3,491739E-001;1,284200E-004;3,762705E-001;1,284200E-004;2,701100E-001;0,000000E+000;5,705272E-001;1,284200E-004;3,364603E-001;0,000000E+000;2,571396E-001;1,284200E-004;2,705809E-001;1,284200E-004;2,630469E-001;0,000000E+000;1,692575E-001;0,000000E+000;1,617664E-001;0,000000E+000;8,651226E-002;1,284200E-004;1,121534E-002;1,284200E-004;1,005957E-002;1,284200E-004;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value recorded time;2023/02/25 23:48:41;2023/03/01 07:48:41;2023/02/23 20:48:41;2023/02/26 18:18:41;2023/02/27 06:28:41;2023/02/27 07:28:41;2023/02/28 18:28:41;2023/02/27 12:18:41;2023/02/23 20:08:41;2023/02/26 16:28:41;2023/02/24 21:58:41;2023/02/27 12:18:41;2023/02/28 23:28:41;2023/02/28 15:18:41;2023/02/28 00:38:41;2023/02/28 15:18:41;2023/03/02 14:08:41;2023/02/24 11:18:41;2023/02/24 23:18:41;2023/03/02 13:28:41;2023/02/23 19:48:41;2023/02/23 16:18:41;2023/02/23 19:48:41;2023/02/24 09:18:41;2023/03/02 13:18:41;2023/02/23 16:18:41;2023/02/24 12:58:41;2023/02/24 07:28:41;2023/02/23 21:38:41;2023/02/27 01:08:41;2023/02/23 20:28:41;2023/02/23 16:18:41;2023/02/23 21:48:41;2023/02/23 16:18:41;2023/02/23 20:28:41;2023/02/23 16:18:41;2023/02/28 11:18:41;2023/03/02 02:38:41;2023/02/23 20:28:41;2023/03/02 02:38:41;2023/03/01 09:48:41;2023/03/02 02:38:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;
;;Min value;2,263071E+002;4,537506E-003;2,931400E-001;0,000000E+000;2,554231E+000;0,000000E+000;2,273890E+000;0,000000E+000;1,284200E-004;0,000000E+000;0,000000E+000;0,000000E+000;5,564866E-004;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Min value recorded time;2023/03/02 10:58:41;2023/02/26 03:08:41;2023/03/02 17:18:41;2023/02/25 09:18:41;2023/03/02 15:18:41;2023/02/23 20:38:41;2023/03/02 10:58:41;2023/02/23 16:48:41;2023/03/01 12:48:41;2023/02/23 16:18:41;2023/02/28 16:28:41;2023/02/23 16:18:41;2023/03/01 12:48:41;2023/02/23 16:18:41;2023/02/23 17:28:41;2023/02/23 16:18:41;2023/02/23 17:38:41;2023/02/23 16:18:41;2023/02/24 09:08:41;2023/02/23 16:18:41;2023/02/23 17:38:41;2023/02/23 16:18:41;2023/02/23 22:08:41;2023/02/23 16:18:41;2023/02/23 21:08:41;2023/02/23 16:18:41;2023/02/23 18:08:41;2023/02/23 16:18:41;2023/02/23 16:58:41;2023/02/23 16:18:41;2023/02/23 16:58:41;2023/02/23 16:18:41;2023/02/23 16:58:41;2023/02/23 16:18:41;2023/02/23 16:28:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:28:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;2023/02/23 16:18:41;
No;DateTime;ELAPSED TIME;AVG[01]_V3[V];AVG[02]_V3[V];AVG[03]_V3[V];AVG[04]_V3[V];AVG[05]_V3[V];AVG[06]_V3[V];AVG[07]_V3[V];AVG[08]_V3[V];AVG[09]_V3[V];AVG[10]_V3[V];AVG[11]_V3[V];AVG[12]_V3[V];AVG[13]_V3[V];AVG[14]_V3[V];AVG[15]_V3[V];AVG[16]_V3[V];AVG[17]_V3[V];AVG[18]_V3[V];AVG[19]_V3[V];AVG[20]_V3[V];AVG[21]_V3[V];AVG[22]_V3[V];AVG[23]_V3[V];AVG[24]_V3[V];AVG[25]_V3[V];AVG[26]_V3[V];AVG[27]_V3[V];AVG[28]_V3[V];AVG[29]_V3[V];AVG[30]_V3[V];AVG[31]_V3[V];AVG[32]_V3[V];AVG[33]_V3[V];AVG[34]_V3[V];AVG[35]_V3[V];AVG[36]_V3[V];AVG[37]_V3[V];AVG[38]_V3[V];AVG[39]_V3[V];AVG[40]_V3[V];AVG[41]_V3[V];AVG[42]_V3[V];AVG[43]_V3[V];AVG[44]_V3[V];AVG[45]_V3[V];AVG[46]_V3[V];AVG[47]_V3[V];AVG[48]_V3[V];AVG[49]_V3[V];AVG[50]_V3[V];
1;2023/02/23 16:18:41;00000:10:00;2,304644E+002;9,040767E-002;6,613201E-001;4,366279E-003;4,727610E+000;1,284200E-003;3,152839E+000;1,284200E-004;5,594830E-002;0,000000E+000;1,437020E-001;0,000000E+000;4,011412E-001;0,000000E+000;6,973205E-002;0,000000E+000;1,914742E-001;0,000000E+000;1,120678E-001;0,000000E+000;1,098419E-001;0,000000E+000;1,917738E-001;0,000000E+000;1,960973E-001;0,000000E+000;1,991366E-001;0,000000E+000;4,456173E-002;0,000000E+000;3,154851E-002;0,000000E+000;3,664250E-002;0,000000E+000;8,304492E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;3,467339E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
2;2023/02/23 16:28:41;00000:20:00;2,307163E+002;8,933750E-002;8,653794E-001;3,039273E-003;4,758560E+000;1,284200E-003;3,202966E+000;1,284200E-004;7,940635E-002;0,000000E+000;1,414332E-001;0,000000E+000;3,005884E-001;0,000000E+000;2,444260E-002;0,000000E+000;1,309884E-001;0,000000E+000;7,786531E-002;0,000000E+000;7,944916E-002;0,000000E+000;1,923303E-001;0,000000E+000;2,103519E-001;0,000000E+000;1,770483E-001;0,000000E+000;8,064775E-002;0,000000E+000;6,557980E-002;0,000000E+000;1,511075E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
3;2023/02/23 16:38:41;00000:30:00;2,306056E+002;1,741375E-001;8,916199E-001;2,195982E-002;4,659676E+000;3,039273E-003;3,161571E+000;2,568400E-004;5,980090E-002;0,000000E+000;2,065849E-001;0,000000E+000;3,780684E-001;0,000000E+000;4,233579E-002;0,000000E+000;1,640779E-001;0,000000E+000;1,776476E-001;0,000000E+000;1,130524E-001;0,000000E+000;1,752933E-001;0,000000E+000;2,043162E-001;0,000000E+000;1,700709E-001;0,000000E+000;4,580313E-002;0,000000E+000;9,460272E-003;0,000000E+000;6,292579E-003;0,000000E+000;8,561332E-004;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
4;2023/02/23 16:48:41;00000:40:00;2,306849E+002;2,143329E-001;9,256512E-001;1,660898E-002;4,851536E+000;2,311560E-003;3,231004E+000;0,000000E+000;2,534154E-002;0,000000E+000;1,431883E-001;0,000000E+000;3,975026E-001;0,000000E+000;2,183140E-003;0,000000E+000;1,700709E-001;0,000000E+000;6,887592E-002;0,000000E+000;2,743907E-002;0,000000E+000;1,719972E-001;0,000000E+000;1,303891E-001;0,000000E+000;1,805585E-001;0,000000E+000;7,247168E-002;0,000000E+000;9,845532E-004;0,000000E+000;1,635214E-002;0,000000E+000;2,910853E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;1,284200E-004;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
