FILE ID;:;'CW500;
VERSION;:;'1.01;'00;
SERIAL NUMBER;:;'0JKT9004;
MAC ADDRESS;:;'--_--_--_--_--_--;
ID NUMBER;:;'00-001;
CONDITION;:;'SELF;
WIRING;:;'3P4W;
VOLT RANGE;:;'600V;
VT RATIO;:;'1,00;
SENSOR TYPE;:;'96065;'96065;'96065;'96065;
CURRENT RANGE;:;'1000 A;'1000 A;'1000 A;'100,0 A;
CT RATIO;:;'1,00;'1,00;'1,00;'1,00;
DC RANGE;:;'1.000 V;'1.000 V;
INTERVAL;:;'10 min.;
DEMAND TARGET;:;'300.0kW ;
DEMAND INTERVAL;:;'15 min.;
NOMINAL VOLTAGE;:;'220V;
FREQUENCY;:;'60Hz;
THD;:;'THD-F;
START;:;'2023/02/08_14:46:52;
INP-DATA;:;'INPS0011.CW5;'2291;
INH-DATA;:;'INHS0011.CW5;'10320;
EVT-DATA;:;'EVTS0011.CW5;'105;
WAV-DATA;:;'WAVS0011.CW5;'115632;
VAL-DATA;:;'VALS0011.CW5;'2592;
TRANSIENT;:;'0;
INTRUPT;:;'0;
DIP;:;'1;
SWELL;:;'0;
INRUSH CURRENT;:;'0;
STOP;:;'2023/02/16_15:57:11;

;;Average value;2,282481E+002;4,833010E-002;9,662041E-001;4,533977E-003;5,037367E+000;5,608169E-004;4,537109E+000;1,545573E-004;5,727305E-001;7,816819E-005;6,257517E-001;1,032976E-004;6,584561E-001;1,232381E-004;2,964744E-001;1,402876E-004;1,985831E-001;9,766390E-005;1,077071E-001;1,842086E-005;1,687458E-002;0,000000E+000;8,938341E-003;0,000000E+000;1,330601E-005;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value;2,339456E+002;2,994123E-001;1,813442E+000;1,985486E-001;9,550909E+000;9,313140E-002;6,210765E+000;2,066246E-002;9,138734E-001;2,620395E-002;1,587444E+000;5,026003E-002;1,194127E+000;5,790643E-002;9,430843E-001;6,641197E-002;7,265366E-001;5,554378E-002;4,294011E-001;1,860051E-002;2,026295E-001;0,000000E+000;1,646982E-001;0,000000E+000;8,634415E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value recorded time;2023/02/11 01:26:52;2023/02/09 00:06:52;2023/02/15 16:46:52;2023/02/16 12:56:52;2023/02/12 06:06:52;2023/02/16 12:56:52;2023/02/11 01:06:52;2023/02/10 17:16:52;2023/02/15 16:26:52;2023/02/14 14:56:52;2023/02/10 04:56:52;2023/02/14 14:56:52;2023/02/14 01:06:52;2023/02/14 14:56:52;2023/02/09 17:16:52;2023/02/14 14:56:52;2023/02/10 07:16:52;2023/02/14 14:56:52;2023/02/12 05:56:52;2023/02/10 17:16:52;2023/02/11 19:06:52;2023/02/08 14:56:52;2023/02/13 14:46:52;2023/02/08 14:56:52;2023/02/10 18:36:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;
;;Min value;2,223255E+002;7,302739E-004;3,873459E-001;0,000000E+000;2,117236E+000;0,000000E+000;3,140951E+000;0,000000E+000;7,947099E-003;0,000000E+000;1,288719E-004;0,000000E+000;1,177030E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Min value recorded time;2023/02/15 13:56:52;2023/02/11 03:56:52;2023/02/12 19:56:52;2023/02/08 15:06:52;2023/02/15 14:06:52;2023/02/08 14:56:52;2023/02/15 00:56:52;2023/02/08 14:56:52;2023/02/13 22:46:52;2023/02/08 14:56:52;2023/02/16 10:36:52;2023/02/08 14:56:52;2023/02/14 19:56:52;2023/02/08 14:56:52;2023/02/12 01:46:52;2023/02/08 14:56:52;2023/02/08 20:46:52;2023/02/08 14:56:52;2023/02/08 16:16:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;
No;DateTime;ELAPSED TIME;AVG[01]_V1[V];AVG[02]_V1[V];AVG[03]_V1[V];AVG[04]_V1[V];AVG[05]_V1[V];AVG[06]_V1[V];AVG[07]_V1[V];AVG[08]_V1[V];AVG[09]_V1[V];AVG[10]_V1[V];AVG[11]_V1[V];AVG[12]_V1[V];AVG[13]_V1[V];AVG[14]_V1[V];AVG[15]_V1[V];AVG[16]_V1[V];AVG[17]_V1[V];AVG[18]_V1[V];AVG[19]_V1[V];AVG[20]_V1[V];AVG[21]_V1[V];AVG[22]_V1[V];AVG[23]_V1[V];AVG[24]_V1[V];AVG[25]_V1[V];AVG[26]_V1[V];AVG[27]_V1[V];AVG[28]_V1[V];AVG[29]_V1[V];AVG[30]_V1[V];AVG[31]_V1[V];AVG[32]_V1[V];AVG[33]_V1[V];AVG[34]_V1[V];AVG[35]_V1[V];AVG[36]_V1[V];AVG[37]_V1[V];AVG[38]_V1[V];AVG[39]_V1[V];AVG[40]_V1[V];AVG[41]_V1[V];AVG[42]_V1[V];AVG[43]_V1[V];AVG[44]_V1[V];AVG[45]_V1[V];AVG[46]_V1[V];AVG[47]_V1[V];AVG[48]_V1[V];AVG[49]_V1[V];AVG[50]_V1[V];
1;2023/02/08 14:56:52;00000:10:00;2,247186E+002;5,537195E-002;1,543584E+000;2,577437E-004;2,854297E+000;0,000000E+000;3,897730E+000;0,000000E+000;7,015785E-001;0,000000E+000;3,077890E-001;0,000000E+000;5,650602E-001;0,000000E+000;4,791456E-001;0,000000E+000;2,008253E-001;0,000000E+000;1,115601E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
2;2023/02/08 15:06:52;00000:20:00;2,256735E+002;5,730502E-002;1,551145E+000;0,000000E+000;2,923244E+000;0,000000E+000;4,051603E+000;0,000000E+000;7,052728E-001;0,000000E+000;2,543501E-001;0,000000E+000;5,632989E-001;0,000000E+000;4,879519E-001;0,000000E+000;2,396158E-001;0,000000E+000;1,612617E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
3;2023/02/08 15:16:52;00000:30:00;2,271097E+002;6,048386E-002;1,366686E+000;5,584448E-004;3,283612E+000;0,000000E+000;4,309432E+000;0,000000E+000;6,525642E-001;0,000000E+000;1,926634E-001;0,000000E+000;5,709024E-001;0,000000E+000;4,858899E-001;0,000000E+000;2,257835E-001;0,000000E+000;1,564075E-001;0,000000E+000;0,000000E+000;0,000000E+000;9,880177E-004;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
4;2023/02/08 15:26:52;00000:40:00;2,277860E+002;4,484741E-002;1,328025E+000;0,000000E+000;3,454883E+000;0,000000E+000;4,453082E+000;0,000000E+000;6,401495E-001;0,000000E+000;1,863487E-001;0,000000E+000;5,986098E-001;0,000000E+000;4,738619E-001;0,000000E+000;2,419784E-001;0,000000E+000;1,646553E-001;0,000000E+000;0,000000E+000;0,000000E+000;6,185850E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
