FILE ID;:;'CW500;
VERSION;:;'1.01;'00;
SERIAL NUMBER;:;'0JKT9004;
MAC ADDRESS;:;'--_--_--_--_--_--;
ID NUMBER;:;'00-001;
CONDITION;:;'SELF;
WIRING;:;'3P4W;
VOLT RANGE;:;'600V;
VT RATIO;:;'1,00;
SENSOR TYPE;:;'96065;'96065;'96065;'96065;
CURRENT RANGE;:;'1000 A;'1000 A;'1000 A;'100,0 A;
CT RATIO;:;'1,00;'1,00;'1,00;'1,00;
DC RANGE;:;'1.000 V;'1.000 V;
INTERVAL;:;'10 min.;
DEMAND TARGET;:;'300.0kW ;
DEMAND INTERVAL;:;'15 min.;
NOMINAL VOLTAGE;:;'220V;
FREQUENCY;:;'60Hz;
THD;:;'THD-F;
START;:;'2023/03/03_14:28:43;
INP-DATA;:;'INPS0014.CW5;'2291;
INH-DATA;:;'INHS0014.CW5;'10320;
EVT-DATA;:;'EVTS0014.CW5;'105;
WAV-DATA;:;'WAVS0014.CW5;'115632;
VAL-DATA;:;'VALS0014.CW5;'2592;
TRANSIENT;:;'0;
INTRUPT;:;'0;
DIP;:;'0;
SWELL;:;'0;
INRUSH CURRENT;:;'0;
STOP;:;'2023/03/13_17:44:22;

;;Average value;8,198276E+001;2,493906E-001;8,280925E+000;3,088775E-003;1,964095E+000;8,442929E-005;1,180927E+000;1,568605E-005;9,751263E-001;8,162645E-006;6,530051E-001;2,950354E-007;1,870579E-001;1,032624E-006;4,227212E-001;6,884158E-007;9,484409E-002;1,032624E-006;2,285602E-001;2,999526E-006;1,587742E-001;0,000000E+000;4,078962E-002;5,900707E-007;2,233410E-001;0,000000E+000;4,514042E-005;0,000000E+000;4,671393E-006;0,000000E+000;1,902978E-005;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value;2,935444E+002;1,479336E+000;1,747589E+001;2,086997E-001;4,796148E+000;1,248324E-002;3,089818E+000;2,869711E-003;2,558275E+000;2,367511E-003;1,160583E+000;2,152283E-004;6,750995E-001;4,304566E-004;1,075639E+000;2,152283E-004;5,444559E-001;2,152283E-004;5,755922E-001;7,174277E-004;5,311117E-001;0,000000E+000;3,074178E-001;4,304566E-004;4,690542E-001;0,000000E+000;2,525346E-002;0,000000E+000;3,371910E-003;0,000000E+000;3,371910E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value recorded time;2023/03/09 14:18:43;2023/03/13 13:08:43;2023/03/13 14:58:43;2023/03/06 16:58:43;2023/03/03 15:58:43;2023/03/07 00:08:43;2023/03/07 15:48:43;2023/03/12 06:28:43;2023/03/10 16:18:43;2023/03/06 03:18:43;2023/03/04 18:58:43;2023/03/12 01:38:43;2023/03/09 02:48:43;2023/03/04 01:38:43;2023/03/05 06:28:43;2023/03/08 22:58:43;2023/03/06 15:38:43;2023/03/07 23:38:43;2023/03/12 03:28:43;2023/03/07 23:38:43;2023/03/07 06:28:43;2023/03/03 14:38:43;2023/03/12 19:08:43;2023/03/09 00:48:43;2023/03/09 04:48:43;2023/03/03 14:38:43;2023/03/09 02:28:43;2023/03/03 14:38:43;2023/03/13 07:28:43;2023/03/03 14:38:43;2023/03/08 22:58:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;
;;Min value;2,991666E+001;1,305718E-002;5,215341E+000;0,000000E+000;2,575565E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;1,363113E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Min value recorded time;2023/03/05 12:58:43;2023/03/04 08:28:43;2023/03/10 03:48:43;2023/03/03 19:38:43;2023/03/12 18:58:43;2023/03/03 14:38:43;2023/03/05 06:18:43;2023/03/03 14:38:43;2023/03/05 16:18:43;2023/03/03 14:38:43;2023/03/03 19:58:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/04 18:58:43;2023/03/03 14:38:43;2023/03/03 23:48:43;2023/03/03 14:38:43;2023/03/03 21:08:43;2023/03/03 14:38:43;2023/03/03 17:28:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;2023/03/03 14:38:43;
No;DateTime;ELAPSED TIME;AVG[01]_A2[A];AVG[02]_A2[A];AVG[03]_A2[A];AVG[04]_A2[A];AVG[05]_A2[A];AVG[06]_A2[A];AVG[07]_A2[A];AVG[08]_A2[A];AVG[09]_A2[A];AVG[10]_A2[A];AVG[11]_A2[A];AVG[12]_A2[A];AVG[13]_A2[A];AVG[14]_A2[A];AVG[15]_A2[A];AVG[16]_A2[A];AVG[17]_A2[A];AVG[18]_A2[A];AVG[19]_A2[A];AVG[20]_A2[A];AVG[21]_A2[A];AVG[22]_A2[A];AVG[23]_A2[A];AVG[24]_A2[A];AVG[25]_A2[A];AVG[26]_A2[A];AVG[27]_A2[A];AVG[28]_A2[A];AVG[29]_A2[A];AVG[30]_A2[A];AVG[31]_A2[A];AVG[32]_A2[A];AVG[33]_A2[A];AVG[34]_A2[A];AVG[35]_A2[A];AVG[36]_A2[A];AVG[37]_A2[A];AVG[38]_A2[A];AVG[39]_A2[A];AVG[40]_A2[A];AVG[41]_A2[A];AVG[42]_A2[A];AVG[43]_A2[A];AVG[44]_A2[A];AVG[45]_A2[A];AVG[46]_A2[A];AVG[47]_A2[A];AVG[48]_A2[A];AVG[49]_A2[A];AVG[50]_A2[A];
1;2023/03/03 14:38:43;00000:10:00;2,767352E+002;8,562500E-001;1,586706E+001;5,595936E-003;4,768240E+000;0,000000E+000;2,788857E+000;0,000000E+000;1,907999E+000;0,000000E+000;4,821832E-001;0,000000E+000;0,000000E+000;0,000000E+000;5,484017E-001;0,000000E+000;1,434855E-003;0,000000E+000;2,733400E-002;0,000000E+000;1,429833E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
2;2023/03/03 14:48:43;00000:20:00;2,584041E+002;8,469951E-001;1,533903E+001;5,739422E-003;3,996503E+000;0,000000E+000;2,548375E+000;0,000000E+000;2,001049E+000;0,000000E+000;3,876262E-001;0,000000E+000;0,000000E+000;0,000000E+000;5,528498E-001;0,000000E+000;7,174277E-004;0,000000E+000;9,326560E-004;0,000000E+000;9,348083E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
3;2023/03/03 14:58:43;00000:30:00;2,535441E+002;8,197329E-001;1,551315E+001;6,959049E-003;4,337496E+000;0,000000E+000;2,686910E+000;0,000000E+000;1,991005E+000;0,000000E+000;3,418543E-001;0,000000E+000;0,000000E+000;0,000000E+000;5,265202E-001;0,000000E+000;7,030791E-003;0,000000E+000;3,945852E-003;0,000000E+000;2,152283E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
4;2023/03/03 15:08:43;00000:40:00;2,389285E+002;7,708043E-001;1,496583E+001;5,021994E-003;3,935737E+000;0,000000E+000;2,807725E+000;0,000000E+000;1,979742E+000;0,000000E+000;3,613683E-001;0,000000E+000;0,000000E+000;0,000000E+000;5,255158E-001;0,000000E+000;1,937055E-002;0,000000E+000;2,726225E-002;0,000000E+000;1,176581E-002;0,000000E+000;3,371910E-003;0,000000E+000;2,080540E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
