FILE ID;:;'CW500;
VERSION;:;'1.01;'00;
SERIAL NUMBER;:;'0JKT9004;
MAC ADDRESS;:;'--_--_--_--_--_--;
ID NUMBER;:;'00-001;
CONDITION;:;'SELF;
WIRING;:;'3P4W;
VOLT RANGE;:;'600V;
VT RATIO;:;'1,00;
SENSOR TYPE;:;'96065;'96065;'96065;'96065;
CURRENT RANGE;:;'1000 A;'1000 A;'1000 A;'100,0 A;
CT RATIO;:;'1,00;'1,00;'1,00;'1,00;
DC RANGE;:;'1.000 V;'1.000 V;
INTERVAL;:;'10 min.;
DEMAND TARGET;:;'300.0kW ;
DEMAND INTERVAL;:;'15 min.;
NOMINAL VOLTAGE;:;'220V;
FREQUENCY;:;'60Hz;
THD;:;'THD-F;
START;:;'2023/02/08_14:46:52;
INP-DATA;:;'INPS0011.CW5;'2291;
INH-DATA;:;'INHS0011.CW5;'10320;
EVT-DATA;:;'EVTS0011.CW5;'105;
WAV-DATA;:;'WAVS0011.CW5;'115632;
VAL-DATA;:;'VALS0011.CW5;'2592;
TRANSIENT;:;'0;
INTRUPT;:;'0;
DIP;:;'1;
SWELL;:;'0;
INRUSH CURRENT;:;'0;
STOP;:;'2023/02/16_15:57:11;

;;Average value;1,756911E+002;1,163172E+000;1,218681E+001;1,050281E-001;4,272623E+000;1,362426E-002;3,673312E+000;9,879456E-003;2,274468E+000;3,751856E-003;7,718517E-001;3,390047E-003;7,496869E-001;2,636965E-003;5,371266E-001;2,067232E-003;5,570285E-001;1,083013E-003;2,487573E-001;1,669458E-004;2,695151E-002;4,147339E-006;4,423985E-002;0,000000E+000;8,802263E-004;0,000000E+000;0,000000E+000;0,000000E+000;1,857017E-007;0,000000E+000;9,285086E-007;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value;5,792221E+002;3,194275E+000;2,738120E+001;9,127833E-001;1,329028E+001;4,214888E-001;7,122407E+000;5,951780E-001;3,731700E+000;1,002964E+000;2,807653E+000;8,804273E-001;1,790987E+000;4,943077E-001;1,694708E+000;3,177487E-001;1,249687E+000;1,805766E-001;1,036827E+000;7,210148E-002;3,513961E-001;3,084939E-003;2,965129E-001;0,000000E+000;2,084845E-001;0,000000E+000;0,000000E+000;0,000000E+000;2,152283E-004;0,000000E+000;4,304566E-004;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Max value recorded time;2023/02/14 14:06:52;2023/02/14 14:56:52;2023/02/14 14:56:52;2023/02/16 12:46:52;2023/02/08 15:46:52;2023/02/14 19:56:52;2023/02/09 17:46:52;2023/02/14 19:56:52;2023/02/14 19:56:52;2023/02/14 19:56:52;2023/02/14 19:56:52;2023/02/14 19:56:52;2023/02/08 18:46:52;2023/02/14 19:56:52;2023/02/08 18:46:52;2023/02/14 19:56:52;2023/02/11 12:16:52;2023/02/08 18:46:52;2023/02/12 05:56:52;2023/02/14 13:36:52;2023/02/12 05:56:52;2023/02/13 11:36:52;2023/02/09 12:46:52;2023/02/08 14:56:52;2023/02/11 20:06:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/12 08:16:52;2023/02/08 14:56:52;2023/02/11 16:46:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;
;;Min value;1,006910E+001;3,666056E-002;4,614854E+000;0,000000E+000;1,172994E-001;0,000000E+000;3,399172E-001;0,000000E+000;6,385107E-002;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;7,532991E-003;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
;;Min value recorded time;2023/02/12 16:16:52;2023/02/09 06:16:52;2023/02/12 21:26:52;2023/02/08 22:56:52;2023/02/13 00:56:52;2023/02/08 21:36:52;2023/02/14 06:56:52;2023/02/08 22:06:52;2023/02/13 22:36:52;2023/02/08 14:56:52;2023/02/09 22:06:52;2023/02/08 14:56:52;2023/02/10 22:06:52;2023/02/08 14:56:52;2023/02/12 00:56:52;2023/02/08 14:56:52;2023/02/16 15:56:52;2023/02/08 14:56:52;2023/02/08 19:46:52;2023/02/08 14:56:52;2023/02/08 15:46:52;2023/02/08 14:56:52;2023/02/08 19:26:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;2023/02/08 14:56:52;
No;DateTime;ELAPSED TIME;AVG[01]_A2[A];AVG[02]_A2[A];AVG[03]_A2[A];AVG[04]_A2[A];AVG[05]_A2[A];AVG[06]_A2[A];AVG[07]_A2[A];AVG[08]_A2[A];AVG[09]_A2[A];AVG[10]_A2[A];AVG[11]_A2[A];AVG[12]_A2[A];AVG[13]_A2[A];AVG[14]_A2[A];AVG[15]_A2[A];AVG[16]_A2[A];AVG[17]_A2[A];AVG[18]_A2[A];AVG[19]_A2[A];AVG[20]_A2[A];AVG[21]_A2[A];AVG[22]_A2[A];AVG[23]_A2[A];AVG[24]_A2[A];AVG[25]_A2[A];AVG[26]_A2[A];AVG[27]_A2[A];AVG[28]_A2[A];AVG[29]_A2[A];AVG[30]_A2[A];AVG[31]_A2[A];AVG[32]_A2[A];AVG[33]_A2[A];AVG[34]_A2[A];AVG[35]_A2[A];AVG[36]_A2[A];AVG[37]_A2[A];AVG[38]_A2[A];AVG[39]_A2[A];AVG[40]_A2[A];AVG[41]_A2[A];AVG[42]_A2[A];AVG[43]_A2[A];AVG[44]_A2[A];AVG[45]_A2[A];AVG[46]_A2[A];AVG[47]_A2[A];AVG[48]_A2[A];AVG[49]_A2[A];AVG[50]_A2[A];
1;2023/02/08 14:56:52;00000:10:00;5,058891E+002;2,820495E+000;2,103190E+001;2,181698E-001;1,066019E+001;2,360337E-002;4,571449E+000;8,035190E-003;2,995189E+000;0,000000E+000;1,580421E+000;0,000000E+000;9,958614E-001;0,000000E+000;5,924518E-001;0,000000E+000;3,332452E-001;0,000000E+000;5,251571E-002;0,000000E+000;4,591537E-003;0,000000E+000;1,814375E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
2;2023/02/08 15:06:52;00000:20:00;4,696696E+002;2,710585E+000;2,275767E+001;1,894009E-001;1,005446E+001;2,001623E-002;4,831158E+000;1,147884E-002;3,141688E+000;0,000000E+000;1,617584E+000;0,000000E+000;1,236845E+000;0,000000E+000;7,283326E-001;0,000000E+000;3,981724E-001;0,000000E+000;1,148602E-001;0,000000E+000;4,376309E-003;0,000000E+000;2,220439E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
3;2023/02/08 15:16:52;00000:30:00;4,548067E+002;2,706711E+000;2,283795E+001;1,710348E-001;1,087211E+001;2,281420E-002;5,324892E+000;9,541788E-003;3,071380E+000;2,152283E-004;1,654747E+000;0,000000E+000;1,165318E+000;0,000000E+000;8,343684E-001;0,000000E+000;3,131572E-001;0,000000E+000;1,903336E-001;0,000000E+000;9,326560E-004;0,000000E+000;2,053996E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
4;2023/02/08 15:26:52;00000:40:00;4,401173E+002;2,776589E+000;2,261296E+001;2,236222E-001;1,148028E+001;1,772046E-002;5,579794E+000;8,250419E-003;3,121815E+000;0,000000E+000;1,731870E+000;2,152283E-004;1,158861E+000;0,000000E+000;9,259839E-001;0,000000E+000;4,180451E-001;0,000000E+000;2,317291E-001;0,000000E+000;1,664432E-002;0,000000E+000;2,045386E-001;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;0,000000E+000;
